calBP,CompID,RockOven,LnOvenArea,DeltaC13Car,DeltaC13CarLag,DeltaC13Col,DeltaN,MAT,MinTemp,CRR,NPP,NPPLag,PrDens,LnPrDens,PrDensLag,LnPrDensLag,lo,hi,logFit3
7500,Component II,1,0.34,-7.108,,-14.346,9.676,17.88096156,6.158024434,509.5381145,861.1271586,,5.811136005,1.759776078,,,3.174061693,7.560118769,5.343072719
7300,Component II,1,0.34,-6.41,-7.108,-14.2525,9.6175,18.09327932,5.960560496,465.0561742,797.0111886,861.1271586,7.808135284,2.055166175,5.811136005,1.759776078,3.664477802,8.0037329,5.732784618
7100,Component II,1,0.34,-6.8,-6.41,-14.4,9.65,17.91185023,6.240338074,530.2758821,890.3773282,797.0111886,7.247167364,1.980610684,7.808135284,2.055166175,3.972146453,8.886546939,6.264747595
6900,Component II,1,0.34,-5.5,-6.8,-12.42,11.345,17.8981429,6.146192719,492.8932127,837.3567607,890.3773282,9.037013657,2.201328772,7.247167364,1.980610684,4.456593515,9.762087638,6.976933585
6700,Component II,1,0.34,-7.003333333,-5.5,-14.03,9.933333333,18.17824656,6.352601563,463.8915532,795.3069401,837.3567607,9.136742588,2.212303931,9.037013657,2.201328772,5.40226984,11.13421708,7.906071159
6500,Component II,1,0.34,-7.62,-7.003333333,-14.92444444,8.764444444,18.1791394,5.932374512,463.2847981,794.4185225,795.3069401,10.20421637,2.322801004,9.136742588,2.212303931,6.37230723,12.48281941,9.078284068
6300,Component II,1,0.34,-7.414401274,-7.62,-14.79324041,9.429382311,18.03003382,5.653338715,455.341961,782.7554604,794.4185225,9.493863262,2.250645617,10.20421637,2.322801004,8.075991915,13.88382149,10.49630198
6100,Component II,1,0.34,-6.9,-7.414401274,-15.2,9.54846164,18.18367884,6.022542358,471.6014472,806.5647378,782.7554604,11.16159665,2.412479016,9.493863262,2.250645617,9.103085136,15.73235633,12.12717574
5900,Component II,2,0.97,-7.912475468,-6.9,-15.56201714,9.07671876,18.31905334,6.491509491,483.017494,823.1286778,806.5647378,12.92168272,2.558906731,11.16159665,2.412479016,10.62039944,18.0302384,13.89756393
5700,Component II,2,0.97,-8.47,-7.912475468,-16.425,9.535,18.06258469,5.905875641,493.1772137,837.7645463,823.1286778,15.39197993,2.73384659,12.92168272,2.558906731,12.24132078,19.61810004,15.70298077
5500,Component II,2,0.97,-8.132857143,-8.47,-15.99428571,8.895714286,18.06545436,6.118605998,494.3920876,839.5080671,837.7645463,15.5204207,2.742156621,15.39197993,2.73384659,13.48534689,21.78158018,17.4305489
5300,Component II,2,0.97,-8.602251768,-8.132857143,-16.23196267,8.440847396,17.92571035,5.995063009,520.1592464,876.1583475,839.5080671,18.69808195,2.928420949,15.5204207,2.742156621,15.3691845,23.465874,18.98572995
5100,Component II,2,0.97,-8.402605127,-8.602251768,-16.10452206,7.7,17.86096863,5.962065318,494.5231608,839.6960921,876.1583475,20.73363328,3.031757178,18.69808195,2.928420949,15.94586669,24.60838039,20.31054077
4900,Component II,2,0.97,-8.283615597,-8.402605127,-16.06436022,8.620318038,18.2194044,6.275227549,495.7113092,841.3997497,839.6960921,20.2184163,3.006593887,20.73363328,3.031757178,17.63166607,26.04089985,21.38696166
4700,Component II,2,0.97,-7.935,-8.283615597,-16.12,8.955,18.24651087,6.0618579,479.0925369,817.4479785,841.3997497,23.91206849,3.174383289,20.2184163,3.006593887,17.70108847,26.92079024,22.22837252
4500,Component II,2,0.97,-9.295,-7.935,-16.895,7.965,18.11237422,6.369835246,532.0887173,892.9152009,817.4479785,24.70646629,3.207065002,23.91206849,3.174383289,18.65858375,27.80256081,22.86636826
4300,Component II,2,0.97,-8.0475,-9.295,-15.97376688,8.961794366,18.08744156,6.133741038,487.14343,829.0843195,892.9152009,32.13972903,3.470092929,24.70646629,3.207065002,18.75729449,28.69725771,23.33903088
4100,Component II,3,1.14,-8.18,-8.0475,-15.94,9.12,18.11879272,6.313980754,510.3724887,862.3118183,829.0843195,24.84942082,3.212834445,32.13972903,3.470092929,19.3836491,28.60514956,23.68321133
3900,Component II,3,1.14,-7.8675,-8.18,-15.43875,9.21625,18.20551168,6.480484151,515.6461221,869.7842544,862.3118183,21.38863567,3.062859738,24.84942082,3.212834445,19.43603665,29.09157214,23.93069223
3700,Component II,3,1.06,-8.8775,-7.8675,-16.27,8.723333333,18.30980311,6.451928599,482.9905305,823.0897033,869.7842544,18.79303394,2.933486266,21.38863567,3.062859738,19.66380251,29.10331732,24.10703057
3500,Component III,3,1.06,-8.09,-8.8775,-15.57142857,8.874285714,18.07490087,5.843800395,474.3962382,810.6314115,823.0897033,21.81645245,3.082664385,18.79303394,2.933486266,17.68741765,29.05568162,24.16417934
3300,Component III,3,1.06,-8.117142857,-8.09,-15.84528721,9.08,18.11305995,5.988798564,470.6713222,805.2096472,810.6314115,27.14641114,3.301244851,21.81645245,3.082664385,16.97019999,32.86948093,24.20828233
3100,Component III,3,1.06,-8.65,-8.117142857,-16.3,7.9,18.14198349,6.094566488,484.8401359,825.7616084,805.2096472,19.46431726,2.968582905,27.14641114,3.301244851,17.52913792,33.82347384,24.72206228
2900,Component III,3,1.06,-7.16,-8.65,-15.505,10.545,18.38358983,6.326519002,446.4714796,769.6573548,825.7616084,14.9653375,2.705736694,19.46431726,2.968582905,18.94725595,35.07495216,25.60325513
2700,Component III,3,1.06,-8.265575531,-7.16,-15.90003566,8.987090752,18.07400284,5.842654867,460.2844594,790.0201284,769.6573548,36.83059623,3.606328919,14.9653375,2.705736694,20.88218835,37.20109872,27.07804624
2500,Component III,3,1.06,-8.6,-8.265575531,-15.4,9.15124894,18.00669195,5.912915639,489.1471661,831.9707604,790.0201284,34.54648138,3.542305704,36.83059623,3.606328919,21.78166261,39.20970041,29.44836999
2300,Component III,3,1.06,-9.53,-8.6,-16.97142857,9.02,17.9723821,5.844928223,492.2992447,836.5036574,831.9707604,33.22049468,3.503166995,34.54648138,3.542305704,26.41339224,43.68202785,33.02214583
2100,Component III,4,1.53,-9.561818182,-9.53,-17.74,9.076363636,18.04764516,6.287234131,485.8732193,827.2525536,836.5036574,39.92736018,3.687061808,33.22049468,3.503166995,30.0825768,49.66868355,37.92622354
1900,Component III,4,1.53,-9.103333333,-9.561818182,-17.38,8.73,17.79289327,5.595624329,516.0685169,870.3816326,827.2525536,42.94586742,3.759940425,39.92736018,3.687061808,34.65565554,57.65283123,43.85880415
1700,Component III,4,1.53,-9.446916752,-9.103333333,-17.42636723,9.09,18.11278478,6.322159159,482.9442255,823.0227698,870.3816326,44.05493331,3.78543734,42.94586742,3.759940425,41.36158932,63.45703007,50.03771539
1500,Component III,4,1.53,-10.2,-9.446916752,-17.75,9.25,18.11401154,6.050600779,502.4952324,851.1013516,823.0227698,49.78271589,3.907667853,44.05493331,3.78543734,45.89640883,69.51240089,55.54775477
1300,Component III,4,1.53,-9.5,-10.2,-17.9,8.8,18.2319254,6.544165029,519.9523597,875.8665694,851.1013516,62.0167945,4.127405227,49.78271589,3.907667853,51.15389456,73.50203016,59.81901887
1100,Component III,4,1.53,-12.15,-9.5,-18.7925,8.01875,18.3373376,6.767053518,525.8437098,884.1596433,875.8665694,75.25166784,4.320838067,62.0167945,4.127405227,52.93181775,77.47799752,62.78195332
900,Component III,4,1.53,-9.515479809,-12.15,-16.77084418,8.890284364,17.8901504,5.837860453,523.1811838,880.4157041,884.1596433,68.55474101,4.227632565,75.25166784,4.320838067,54.31168917,78.63031303,64.68123308
700,Component III,4,1.36,-8.90952381,-9.515479809,-16.07619048,9.40952381,17.9135464,5.958510935,512.91443,865.91687,880.4157041,69.19822925,4.236975273,68.55474101,4.227632565,56.50775573,79.91927794,65.83736016
500,Component III,1,0.2,-5,-8.90952381,-9.75,11.2,18.19196086,6.646412547,538.4485233,901.7944715,865.91687,62.76335922,4.139371451,69.19822925,4.236975273,55.20887148,79.30787653,66.51899053
,,,,,-5,,,,,,,901.7944715,,,62.76335922,,,,
