calBP,PrDens,LnPrDens,PrDensLag,LnPrDensLag,lo,hi,logFit2,NPP,NPPLag,CRR,MAT,FloodEvents,FloodEventsLag,CompID,DeltaN,DeltaNLag,DeltaC13Col
6900,3.828755043,1.342539696,,,1.210657934,4.462073985,2.89024819,1096.030061,,684.7456942,20.5497324,1,,Component II,11.55,,-17.225
6700,4.10784009,1.412897365,3.828755043,1.342539696,1.695286869,4.687698688,3.045133531,1076.307411,1096.030061,669.2254914,20.75157167,0,1,Component II,11.6,11.55,-15.3
6500,2.733450654,1.005564787,4.10784009,1.412897365,1.890507193,4.911789385,3.237454206,1089.473227,1076.307411,679.5682033,20.78926564,0,0,Component II,10.07,11.6,-16.29
6300,2.869680141,1.054200574,2.733450654,1.005564787,2.003155238,4.940558311,3.474408363,1100.265231,1089.473227,688.0994085,20.62627138,0,0,Component II,9.978,10.07,-16.986
6100,2.966323463,1.087323295,2.869680141,1.054200574,2.180373248,5.373884199,3.763574347,1079.962598,1100.265231,672.089793,20.93253575,0,0,Component II,12.44,9.978,-17.7
5900,2.723542277,1.001933341,2.966323463,1.087323295,2.58580795,5.814901965,4.112366668,1075.121486,1079.962598,668.2973378,20.99023058,0,0,Component II,10.45837296,12.44,-17.45608836
5700,2.305196962,0.835166123,2.723542277,1.001933341,2.71943724,6.384831396,4.527215976,1117.72467,1075.121486,702.0044602,20.74353294,1,0,Component II,9.57,10.45837296,-18.98
5500,7.367502222,1.997078737,2.305196962,0.835166123,3.437483895,7.386378246,5.012479156,1083.568959,1117.72467,674.9211827,20.84118857,1,1,Component II,11.19,9.57,-17.55308242
5300,6.923425504,1.934910662,7.367502222,1.997078737,4.072626673,8.243260245,5.569174157,1094.985061,1083.568959,683.9193344,20.77882547,1,1,Component II,11.68,11.19,-18.615
5100,6.46763156,1.866809977,6.923425504,1.934910662,4.426917708,8.806111665,6.19375327,1088.790942,1094.985061,679.03047,20.7436267,1,1,Component II,11.115,11.68,-17.865
4900,6.703856021,1.902682886,6.46763156,1.866809977,4.93875114,9.18753604,6.877240477,1081.092346,1088.790942,672.9761969,20.9260029,1,1,Component II,10.3425,11.115,-17.56859815
4700,10.07745688,2.310300937,6.703856021,1.902682886,5.189950221,10.06896083,7.605096591,1096.353543,1081.092346,685.001587,20.98339192,0,1,Component II,10.89,10.3425,-19.49
4500,6.06574102,1.802656715,10.07745688,2.310300937,5.903769163,10.53956597,8.358073279,1079.052861,1096.353543,671.3763899,20.82842579,0,0,Component II,10.58691151,10.89,-17.36192834
4300,8.486296523,2.138452689,6.06574102,1.802656715,6.397136075,12.32069536,9.114059434,1062.065114,1079.052861,658.1165277,20.83618715,0,0,Component II,9.865,10.58691151,-16.9975
4100,8.936267563,2.190118003,8.486296523,2.138452689,7.124279904,13.00412136,9.850591486,1062.081846,1062.065114,658.1295305,20.91194094,0,0,Component II,10.41833333,9.865,-17.185
3900,10.12702051,2.31520715,8.936267563,2.190118003,7.680132621,13.50889844,10.54744841,1096.312358,1062.081846,684.9690054,20.94559005,0,0,Component II,10.974,10.41833333,-15.598
3700,13.66087015,2.614535553,10.12702051,2.31520715,8.456085256,14.97330165,11.18871879,1074.272259,1096.312358,667.6330495,21.01669756,0,0,Component II,10.11833333,10.974,-16.94
3500,10.23918936,2.326222452,13.66087015,2.614535553,8.787113341,15.19237475,11.76393046,1103.429129,1074.272259,690.6096955,20.85036267,0,0,Component II,11.39,10.11833333,-14.2975
3300,13.30076129,2.587821273,10.23918936,2.326222452,9.820040415,15.66652619,12.26815989,1083.727531,1103.429129,675.0458012,20.87755116,0,0,Component II,10.50625,11.39,-17.10125
3100,12.24143533,2.504826536,13.30076129,2.587821273,9.732981742,15.59435841,12.70132804,1082.710989,1083.727531,674.2470994,20.96299722,0,0,Component II,9.5225,10.50625,-17.66
2900,13.83085288,2.626901813,12.24143533,2.504826536,8.971298614,17.74136081,15.33000623,1070.681973,1082.710989,664.8278643,20.94568201,1,0,Component II,10.3532941,9.5225,-17.62533333
2700,22.92558511,3.132253541,13.83085288,2.626901813,15.38191768,29.33548076,22.42766114,1085.106982,1070.681973,676.1303209,20.79999724,1,1,Component III,11.34857143,10.3532941,-17.38
2500,21.17408143,3.05277786,22.92558511,3.132253541,14.57413474,29.86730473,22.4276765,1101.097599,1085.106982,688.7594174,20.64500577,1,1,Component III,11.08757949,11.34857143,-18.16411765
2300,19.34329499,2.962345847,21.17408143,3.05277786,16.60621256,29.67936494,22.42782057,1085.73858,1101.097599,676.6271416,20.87447931,1,1,Component III,10.98956522,11.08757949,-19.17913043
2100,28.25596614,3.341304626,19.34329499,2.962345847,15.96697089,30.88495753,22.42917219,1082.218032,1085.73858,673.8599329,20.77157007,1,1,Component III,11.21398025,10.98956522,-17.188
1900,20.00117699,2.995791121,28.25596614,3.341304626,15.09752896,30.34102089,22.44184172,1084.343594,1082.218032,675.5300516,20.81858253,0,1,Component III,11.97125,11.21398025,-13.955
1700,23.7423816,3.167261704,20.00117699,2.995791121,15.49016767,30.83927109,22.55962242,1080.452058,1084.343594,672.4737611,20.93098083,0,0,Component III,11.249,11.97125,-15.572
1500,27.17551557,3.302316405,23.7423816,3.167261704,17.90781902,32.60149251,23.57752492,1034.295293,1080.452058,636.6889729,20.93401895,0,0,Component III,12.17606061,11.249,-10.38939394
1300,28.4069297,3.346633119,27.17551557,3.302316405,23.3752541,39.13126402,29.14606484,1094.317144,1034.295293,683.3914,21.0067194,0,0,Component III,11.34799414,12.17606061,-12.43969697
1100,38.51034575,3.650926926,28.4069297,3.346633119,29.0321204,48.54285065,38.14026283,1099.881643,1094.317144,687.7953483,20.92548235,0,0,Component III,10.76857143,11.34799414,-14.6585505
900,47.97511357,3.870682409,38.51034575,3.650926926,33.84573321,50.66061585,41.47060835,1110.673642,1099.881643,696.3734145,20.79865432,0,0,Component III,11.992,10.76857143,-16.966
700,44.78471978,3.801867005,47.97511357,3.870682409,34.21242904,52.54909808,41.94557087,1101.596675,1110.673642,689.1552881,20.82708053,0,0,Component III,11.13703704,11.992,-14.81333333
500,39.66079706,3.68036322,44.78471978,3.801867005,34.17010675,53.00568774,41.99813785,1098.731977,1101.596675,686.8844046,20.88800854,0,0,Component III,11.66375,11.13703704,-14.06875
,,,39.66079706,3.68036322,,,,,1098.731977,,,,0,,,11.66375,
